age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impuslive,ss,alcohol,amphet,amyl,benzos,caff,cannabis,choc,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,semer,vsa
35-44,Hombre,University degree,Australia,White,46,41,48,42,46,13.63%,13.21%,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
35-44,Mujer,"Some college or university, no certificate or degree",UK,White,29,39,48,44,52,16.29%,11.83%,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Used over a Decade Ago
25-34,Hombre,University degree,UK,White,48,43,55,45,48,13.63%,8.97%,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Week,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Never Used
35-44,Hombre,Left school at 16 years,UK,White,30,46,42,48,40,14.64%,7.00%,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Hombre,Left school at 16 years,UK,White,31,42,35,50,36,14.64%,8.97%,Used in Last Day,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Mujer,Left school at 18 years,Other,White,50,28,53,38,31,16.29%,7.00%,Used in Last Week,Used in Last Week,Never Used,Used in Last Decade,Used in Last Day,Used in Last Week,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used over a Decade Ago
35-44,Hombre,Left school at 18 years,USA,White,53,27,54,36,44,13.63%,11.19%,Used in Last Month,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
25-34,Mujer,Left school at 16 years,UK,White,40,30,47,48,39,18.83%,11.14%,Used in Last Day,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Decade
18-24,Mujer,Left school before 16 years,UK,White,54,30,48,30,29,18.83%,11.62%,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,26,47,52,34,31,16.29%,11.14%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Month,Used in Last Month,Never Used,Used in Last Month,Used in Last Week,Never Used,Never Used
45-54,Hombre,Professional certificate/ diploma,UK,White,42,45,49,41,36,7.85%,5.46%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
18-24,Mujer,Left school at 18 years,UK,White,27,43,49,47,42,13.63%,13.21%,Used in Last Day,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Decade,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Month,Never Used,Used in Last Decade
18-24,Mujer,Professional certificate/ diploma,UK,White,41,36,52,43,44,10.34%,11.19%,Used in Last Week,Never Used,Used in Last Month,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,43,28,52,35,29,14.64%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Year,Used in Last Year,Used in Last Month,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used
18-24,Mujer,Professional certificate/ diploma,Other,Other,25,37,49,47,43,14.64%,11.83%,Used in Last Month,Never Used,Used in Last Decade,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
55-64,Mujer,"Some college or university, no certificate or degree",USA,White,28,41,50,47,48,14.64%,11.19%,Used in Last Year,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used over a Decade Ago,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used
25-34,Mujer,Masters degree,UK,White,36,48,60,39,42,16.29%,11.62%,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Mujer,Left school at 16 years,Other,White,35,36,52,46,36,18.83%,11.62%,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
55-64,Hombre,"Some college or university, no certificate or degree",UK,White,49,35,55,42,27,10.34%,11.14%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
35-44,Hombre,Professional certificate/ diploma,Republic of Ireland,White,36,43,40,38,49,11.46%,11.19%,Used in Last Year,Never Used,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used over a Decade Ago
25-34,Hombre,Professional certificate/ diploma,UK,White,30,39,36,43,39,10.34%,3.77%,Used in Last Year,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,22,44,44,39,40,11.46%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Week,Never Used,Never Used
55-64,Hombre,Professional certificate/ diploma,Canada,White,36,38,44,38,46,7.85%,11.19%,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Month,Used in Last Week,Used in Last Week,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago
35-44,Mujer,Left school at 16 years,UK,White,35,40,44,43,45,14.64%,7.00%,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
45-54,Mujer,Professional certificate/ diploma,Other,White,40,43,48,36,33,10.34%,11.62%,Used in Last Year,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
35-44,Mujer,University degree,UK,White,31,44,52,38,46,13.63%,11.62%,Used in Last Month,Used in Last Decade,Used in Last Year,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Decade,Never Used,Used over a Decade Ago
25-34,Mujer,University degree,UK,White,37,38,39,34,42,13.63%,11.19%,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Mujer,Left school at 16 years,UK,White,50,32,38,31,36,16.29%,11.62%,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Week,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Hombre,Masters degree,Other,White,26,47,44,45,43,14.64%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago
35-44,Mujer,University degree,UK,White,36,46,42,41,39,11.46%,11.83%,Used in Last Week,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Week,Never Used,Never Used
45-54,Hombre,Masters degree,UK,White,40,43,45,42,44,18.83%,7.00%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Week,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Week,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,40,43,50,44,34,5.52%,13.21%,Used in Last Day,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used
55-64,Mujer,Left school at 16 years,USA,White,34,38,45,48,45,18.83%,11.83%,Used in Last Year,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Year,Used in Last Year,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Mujer,Left school at 16 years,UK,White,45,38,35,40,40,18.83%,11.83%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18-24,Hombre,Left school at 17 years,USA,White,23,52,49,44,44,10.34%,5.46%,Used in Last Week,Used in Last Year,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Month,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
35-44,Hombre,Left school at 16 years,UK,White,34,41,41,32,44,18.83%,11.19%,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
25-34,Hombre,Masters degree,UK,White,39,39,48,40,48,16.29%,11.83%,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Mujer,Professional certificate/ diploma,Other,White,41,36,47,42,36,11.46%,11.14%,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Never Used,Used over a Decade Ago
25-34,Mujer,Masters degree,UK,White,34,42,37,50,53,11.46%,11.14%,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Month,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Decade
35-44,Hombre,University degree,UK,White,38,38,39,38,48,14.64%,3.77%,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
45-54,Hombre,Left school at 16 years,Australia,White,42,38,40,40,43,16.29%,7.00%,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,36,42,46,34,41,11.46%,11.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,33,43,45,38,32,13.63%,11.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
